Epoch,Train_Loss,Val_Loss,Val_mIoU,Background,White_Solid,White_Dotted,Yellow_Solid,Yellow_Dotted,Blue_Solid,Blue_Dotted,Crosswalk,Stop_Line
51,0.5586,0.1357,0.6203,0.9912,0.6195,0.6575,0.5812,0.2387,0.4479,0.4157,0.6095,0.4559
52,0.5600,0.1393,0.6125,0.9910,0.6212,0.6620,0.5038,0.2114,0.5138,0.4745,0.5999,0.4400
53,0.5568,0.1357,0.6183,0.9911,0.6169,0.6579,0.5723,0.2329,0.4820,0.4588,0.6055,0.4235
54,0.5447,0.1315,0.6315,0.9914,0.6283,0.6658,0.5810,0.2727,0.5165,0.4673,0.6197,0.4405
55,0.5411,0.1318,0.6343,0.9913,0.6295,0.6654,0.5928,0.3018,0.5174,0.4892,0.6091,0.4600
56,0.5397,0.1319,0.6342,0.9914,0.6284,0.6674,0.5865,0.2941,0.5152,0.4779,0.6195,0.4581
57,0.5380,0.1312,0.6331,0.9915,0.6287,0.6684,0.5817,0.3053,0.5268,0.4784,0.6164,0.4294
58,0.5358,0.1322,0.6331,0.9912,0.6240,0.6668,0.5883,0.2945,0.5238,0.4712,0.6238,0.4404
59,0.5355,0.1309,0.6356,0.9914,0.6289,0.6673,0.5951,0.3112,0.4972,0.4728,0.6273,0.4585
60,0.5339,0.1310,0.6359,0.9914,0.6285,0.6698,0.5963,0.3060,0.5156,0.4659,0.6221,0.4479
61,0.5325,0.1320,0.6313,0.9913,0.6283,0.6696,0.5935,0.2861,0.5242,0.4672,0.6328,0.4223
62,0.5324,0.1313,0.6375,0.9915,0.6306,0.6665,0.5934,0.3267,0.5369,0.4735,0.6257,0.4485
63,0.5317,0.1318,0.6372,0.9914,0.6301,0.6685,0.5921,0.3142,0.5296,0.4763,0.6170,0.4585
64,0.5304,0.1332,0.6368,0.9914,0.6293,0.6677,0.5874,0.3073,0.5346,0.4628,0.6137,0.4657
65,0.5298,0.1323,0.6384,0.9912,0.6230,0.6657,0.5935,0.3162,0.5507,0.4734,0.6226,0.4589
66,0.5291,0.1305,0.6387,0.9915,0.6330,0.6683,0.5968,0.3198,0.5244,0.4667,0.6088,0.4615
67,0.5288,0.1316,0.6332,0.9914,0.6279,0.6695,0.5922,0.2942,0.5084,0.4821,0.6232,0.4540
68,0.5282,0.1299,0.6403,0.9915,0.6321,0.6699,0.5978,0.3052,0.5147,0.4761,0.6287,0.4699
69,0.5273,0.1318,0.6397,0.9915,0.6305,0.6696,0.5917,0.3230,0.5350,0.4777,0.6200,0.4652
70,0.5270,0.1305,0.6396,0.9915,0.6313,0.6667,0.5970,0.2987,0.5404,0.4932,0.6316,0.4550
71,0.5263,0.1302,0.6398,0.9915,0.6320,0.6686,0.5987,0.3046,0.5400,0.4855,0.6224,0.4686
72,0.5245,0.1302,0.6393,0.9916,0.6332,0.6706,0.5949,0.3000,0.5389,0.4818,0.6301,0.4645
73,0.5250,0.1286,0.6407,0.9915,0.6360,0.6706,0.5978,0.2897,0.5276,0.4719,0.6240,0.4720
74,0.5244,0.1307,0.6365,0.9916,0.6320,0.6687,0.5913,0.2803,0.5113,0.4922,0.6267,0.4593
75,0.5244,0.1312,0.6365,0.9916,0.6329,0.6703,0.5966,0.3146,0.5076,0.4751,0.6114,0.4564
76,0.5232,0.1302,0.6375,0.9916,0.6348,0.6707,0.5957,0.2896,0.5206,0.4902,0.6216,0.4592
77,0.5228,0.1309,0.6395,0.9916,0.6328,0.6690,0.6018,0.2890,0.5316,0.4603,0.6287,0.4793
78,0.5232,0.1320,0.6380,0.9915,0.6306,0.6722,0.6017,0.2897,0.5398,0.4739,0.6230,0.4660
79,0.5221,0.1314,0.6348,0.9916,0.6357,0.6720,0.5895,0.2938,0.5289,0.4593,0.6138,0.4624
80,0.5153,0.1304,0.6389,0.9915,0.6349,0.6734,0.5979,0.3032,0.5186,0.4742,0.6204,0.4581
81,0.5141,0.1289,0.6432,0.9916,0.6357,0.6751,0.6028,0.3071,0.5343,0.4694,0.6300,0.4725
82,0.5134,0.1298,0.6436,0.9916,0.6342,0.6736,0.6000,0.3124,0.5233,0.4942,0.6307,0.4701
83,0.5128,0.1297,0.6411,0.9916,0.6348,0.6731,0.5983,0.3006,0.5416,0.4930,0.6247,0.4672
84,0.5119,0.1289,0.6461,0.9916,0.6368,0.6744,0.6062,0.3060,0.5451,0.4853,0.6241,0.4812
85,0.5113,0.1289,0.6446,0.9917,0.6362,0.6756,0.6062,0.3131,0.5243,0.4762,0.6377,0.4690
86,0.5108,0.1288,0.6473,0.9916,0.6379,0.6750,0.6025,0.3227,0.5384,0.4792,0.6339,0.4804
87,0.5102,0.1289,0.6458,0.9916,0.6374,0.6741,0.5964,0.3256,0.5221,0.4862,0.6304,0.4766
88,0.5098,0.1286,0.6439,0.9917,0.6384,0.6761,0.6005,0.3062,0.5418,0.4900,0.6309,0.4649
89,0.5096,0.1284,0.6500,0.9917,0.6393,0.6736,0.6047,0.3217,0.5513,0.4880,0.6396,0.4831
90,0.5095,0.1275,0.6480,0.9917,0.6375,0.6757,0.6073,0.3126,0.5552,0.4854,0.6327,0.4844
91,0.5084,0.1288,0.6435,0.9916,0.6390,0.6758,0.6001,0.3073,0.5321,0.4845,0.6316,0.4672
92,0.5090,0.1302,0.6425,0.9917,0.6344,0.6742,0.5922,0.3002,0.5447,0.4944,0.6318,0.4724
93,0.5079,0.1287,0.6477,0.9917,0.6394,0.6754,0.6001,0.3162,0.5431,0.4936,0.6344,0.4814
94,0.5071,0.1302,0.6451,0.9916,0.6389,0.6741,0.5944,0.3115,0.5451,0.4838,0.6307,0.4763
95,0.5075,0.1297,0.6435,0.9915,0.6375,0.6747,0.6017,0.3100,0.5375,0.4907,0.6317,0.4693
96,0.5047,0.1282,0.6477,0.9916,0.6400,0.6773,0.6029,0.3159,0.5494,0.4930,0.6330,0.4775
97,0.5040,0.1283,0.6476,0.9917,0.6395,0.6774,0.6038,0.3116,0.5472,0.4916,0.6358,0.4780
98,0.5027,0.1288,0.6462,0.9917,0.6399,0.6757,0.6024,0.3176,0.5347,0.4861,0.6280,0.4788
99,0.5032,0.1287,0.6491,0.9917,0.6403,0.6766,0.6046,0.3199,0.5445,0.4961,0.6311,0.4840
100,0.5024,0.1281,0.6479,0.9917,0.6414,0.6778,0.6064,0.3149,0.5451,0.4878,0.6288,0.4802
